Name,Lat,Lng,Address,Features,Booking
Kawana Hotel Golf Course Fuji Course,34.9038,139.1389,"Ito, Shizuoka","Scenic View, Ocean View, Championship",
Hirono Golf Club,34.7967,135.0111,"Miki, Hyogo","Private Club, Championship, Prestigious",
Naruo Golf Club,34.8194,135.3444,"Kawanishi, Hyogo","Private Club, Links Style, Historic",
Kasumigaseki Country Club East Course,35.8569,139.3814,"Kawagoe, Saitama","Championship, Olympic Venue, Private Club",
Taiheiyo Club Gotemba Course,35.3131,138.9056,"Gotemba, Shizuoka","Mt. Fuji View, Championship, Scenic View",
Phoenix Country Club,31.9567,131.4692,"Miyazaki, Miyazaki","Resort, Ocean View, Championship",
The North Country Golf Club,42.8456,141.6744,"Chitose, Hokkaido","Championship, Links Style, Resort",
Oarai Golf Club,36.3244,140.5756,"Oarai, Ibaraki","Links Style, Scenic View, Championship",
Tokyo Golf Club,35.8367,139.3956,"Sayama, Saitama","Private Club, Prestigious, Championship",
Fujizakura Country Club,35.4544,138.7456,"Fujikawaguchiko, Yamanashi","Mt. Fuji View, Championship, Mountain Course",
Abiko Golf Club,35.8544,140.0356,"Abiko, Chiba","Private Club, Championship, Historic",
Ryugasaki Country Club,35.9144,140.1656,"Ryugasaki, Ibaraki","Private Club, Championship, Traditional",
Nikko Country Club,36.7244,139.6356,"Nikko, Tochigi","Scenic View, Mountain Course, Championship",
Hakone Country Club,35.2544,139.0056,"Hakone, Kanagawa","Mountain Course, Scenic View, Resort",
Kansai Golf Club,34.8244,135.0356,"Miki, Hyogo","Private Club, Championship, Luxury",
Ono Golf Club,34.8544,134.9356,"Ono, Hyogo","Private Club, Prestigious, Historic",
Ibusuki Golf Club Kaimon Course,31.2144,130.5456,"Ibusuki, Kagoshima","Ocean View, Resort, Championship",
Kochi Kuroshio Country Club,33.5444,133.7256,"Geisei, Kochi","Ocean View, Championship, Scenic View",
Keya Golf Club,33.6044,130.1356,"Itoshima, Fukuoka","Ocean View, Championship, Scenic View",
Eniwa Country Club,42.8844,141.5656,"Eniwa, Hokkaido","Resort, Championship, Scenic View",
Katsura Golf Club,42.8144,141.7456,"Tomakomai, Hokkaido","Forest Course, Championship, Scenic View",
